act_score,act_percent,sat_score,sat_percent
36,99,1600,100
35,99,1590,100
34,99,1580,100
33,98,1570,100
32,97,1560,100
31,95,1550,100
30,93,1540,100
29,91,1530,100
28,88,1520,99
27,85,1510,99
26,82,1500,99
25,78,1490,99
24,73,1480,99
23,68,1470,98
22,63,1460,98
21,57,1450,98
20,51,1440,97
19,44,1430,97
18,38,1420,96
17,31,1410,96
16,25,1400,95
15,19,1390,95
14,13,1380,94
13,7,1370,94
12,3,1360,93
11,1,1350,92
10,1,1340,91
9,1,1330,90
8,1,1320,90
7,1,1310,89
6,1,1300,88
5,1,1290,87
4,1,1280,86
3,1,1270,85
2,1,1260,83
1,1,1250,82
,,1240,81
,,1230,80
,,1220,78
,,1210,77
,,1200,76
,,1190,74
,,1180,73
,,1170,71
,,1160,69
,,1150,68
,,1140,66
,,1130,64
,,1120,63
,,1110,61
,,1100,59
,,1090,57
,,1080,55
,,1070,53
,,1060,51
,,1050,49
,,1040,47
,,1030,45
,,1020,43
,,1010,41
,,1000,40
,,990,38
,,980,36
,,970,34
,,960,32
,,950,31
,,940,29
,,930,27
,,920,26
,,910,24
,,900,22
,,890,21
,,880,19
,,870,18
,,860,17
,,850,15
,,840,14
,,830,13
,,820,12
,,810,11
,,800,9
,,790,8
,,780,8
,,770,7
,,760,6
,,750,5
,,740,4
,,730,4
,,720,3
,,710,3
,,700,2
,,690,2
,,680,1
,,670,1
,,660,1
,,650,1
,,640,1
,,630,0
,,620,0
,,610,0
,,600,0
